Storage,Total_Cost,Hit_Rate,Avg_Latency,Avg_ISL_Hops,DIBR_Cost,Network_Cost,Total_Cache_Misses,Total_Requests
200,3004600.0,0.200483372452418,0.9945249436913469,3.6214428357463806,54292.5,1719650,34404,16369
400,2824125.0,0.27276273519963284,0.981064063855356,3.5618955512572534,55999.5,1584500,31693,16552
600,2715004.0,0.3092256290201605,0.9763927979122403,3.5326575131528295,55519.5,1519100,30392,16610
